Rank,Country,Gold,Silver,Bronze,Total,Rank Total
1,China,96,60,51,207,1
2,Great Britain,41,38,45,124,2
3,USA,37,36,31,104,4
4,RPC,36,33,49,118,3
5,Netherlands,25,17,17,59,9
6,Ukraine,24,47,27,98,5
7,Brazil,22,20,30,72,7
8,Australia,21,29,30,80,6
9,Italy,14,29,26,69,8
10,Azerbaijan,14,1,4,19,20
11,Japan,13,15,23,51,11
12,Germany,13,12,18,43,12
13,Iran,12,11,1,24,15
14,France,11,15,28,54,10
15,Spain,9,15,12,36,13
16,Uzbekistan,8,5,6,19,20
17,Poland,7,6,12,25,14
18,Hungary,7,5,4,16,24
19,Switzerland,7,4,3,14,27
20,Mexico,7,2,13,22,18
21,New Zealand,6,3,3,12,28
22,Israel,6,2,1,9,35
23,Canada,5,10,6,21,19
24,India,5,8,6,19,20
25,Thailand,5,5,8,18,23
26,Slovakia,5,2,4,11,30
27,Belarus,5,1,1,7,41
28,Tunisia,4,5,2,11,30
29,Algeria,4,4,4,12,28
30,Morocco,4,4,3,11,30
31,Belgium,4,3,8,15,25
32,Ireland,4,2,1,7,41
33,Nigeria,4,1,5,10,34
34,South Africa,4,1,2,7,41
35,Cuba,4,1,1,6,47
36,Jordan,4,0,1,5,50
37,Colombia,3,7,14,24,15
38,Venezuela,3,2,2,7,41
39,Malaysia,3,2,0,5,50
40,Denmark,3,1,1,5,50
41,South Korea,2,10,12,24,15
42,Turkey,2,4,9,15,25
43,Indonesia,2,3,4,9,35
44,Czechia,2,3,3,8,39
45,Chile,2,3,1,6,47
45,Serbia,2,3,1,6,47
47,Norway,2,0,2,4,57
48,Singapore,2,0,0,2,63
49,Austria,1,5,3,9,35
50,Sweden,1,5,2,8,39
51,Greece,1,3,7,11,30
52,Finland,1,3,1,5,50
52,Kazakhstan,1,3,1,5,50
54,UAE,1,1,1,3,58
55,Costa Rica,1,1,0,2,63
56,Ecuador,1,0,2,3,58
57,Cyprus,1,0,1,2,63
57,Sri Lanka,1,0,1,2,63
59,Ethiopia,1,0,0,1,73
59,Mongolia,1,0,0,1,73
59,Pakistan,1,0,0,1,73
59,Peru,1,0,0,1,73
63,Argentina,0,5,4,9,35
64,Egypt,0,5,2,7,41
65,Croatia,0,3,4,7,41
66,Latvia,0,3,2,5,50
67,Georgia,0,3,0,3,58
68,Hong Kong,0,2,3,5,50
69,Bulgaria,0,2,0,2,63
70,Iraq,0,1,2,3,58
71,Kuwait,0,1,1,2,63
71,Namibia,0,1,1,2,63
71,Romania,0,1,1,2,63
71,Slovenia,0,1,1,2,63
75,Vietnam,0,1,0,1,73
76,Lithuania,0,0,3,3,58
77,Portugal,0,0,2,2,63
78,Bosnia and Herzegovina,0,0,1,1,73
78,El Salvador,0,0,1,1,73
78,Kenya,0,0,1,1,73
78,Saudi Arabia,0,0,1,1,73
78,Montenegro,0,0,1,1,73
78,Oman,0,0,1,1,73
78,Qatar,0,0,1,1,73
78,Taiwan,0,0,1,1,73
78,Uganda,0,0,1,1,73
